arm,qid,type,question,expected,answer,cited,excerpts,target_retrieved,target_cited,all_cited_in_evidence,all_excerpts_found,latency_s,retrieval_s,error,correct,sources_support
rerank_off,6,text,What port does Gradio serve an app on by default?,Week 4 slide 7,"According to the ""Serving"" slide (page 7) in the MBAX 6418 - Week 4 - Serving and Debugging v4.pptx presentation, Gradio serves an app on the default port 7860.",[1] MBAX 6418 - Week 4 - Serving and Debugging v4.pptx p7,"You can open your app locally using the default port, 7860:",True,True,True,True,1.999,0.778,,,
rerank_on,6,text,What port does Gradio serve an app on by default?,Week 4 slide 7,"According to the ""Serving"" slide (page 7) in the ""MBAX 6418 - Week 4 - Serving and Debugging v4.pptx"" presentation, Gradio serves an app on the default port 7860. You can access the app locally using the URLs http://127.0.0.1:7860 or http://localhost:7860.",[1] MBAX 6418 - Week 4 - Serving and Debugging v4.pptx p7,"You can open your app locally using the default port, 7860:",True,True,True,True,4.539,2.88,,,
rerank_off,7,text,What is semantic search typically based on?,Week 5 slide 15,"According to the ""Semantic Search and Embeddings"" slide (page 15) in the MBAX 6418 Week 5 presentation, semantic search is typically based on **embeddings**. These embeddings are used to numerically represent text, images, and other data.",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p15,"Semantic search typically uses embeddings to numerically represent text, images, and other data",True,True,True,True,1.831,0.699,,,
rerank_on,7,text,What is semantic search typically based on?,Week 5 slide 15,"Based on the slide ""Semantic Search and Embeddings"" (page 15) in the ""MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx"" presentation, semantic search is typically based on **embeddings**. The slide explains that these embeddings are used to ""numerically represent text, images, and other data"".",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p15,"Semantic search typically uses embeddings to numerically represent text, images, and other data",True,True,True,True,3.808,2.581,,,
rerank_off,8,text,Name two common chunking strategies.,Week 5 slide 17,"According to the ""Chunking: How Much Context Is Enough?"" slide in the MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx presentation, two common chunking strategies are:

1. **Fixed size**: This involves creating chunks with a set size, often with overlap.
2. **Recursive**: This strategy splits content at boundaries like paragraphs, and then divides any oversized chunks at finer boundaries like sentences.

Other strategies mentioned include Document-based and Semantic chunking.",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p17; [1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p17,"Fixed size – chunks with a set size, often with overlap | Recursive – split at boundaries like paragraphs, then divide oversized chunks at finer boundaries like sentences",True,True,True,True,2.45,0.78,,,
rerank_on,8,text,Name two common chunking strategies.,Week 5 slide 17,"According to the slide ""Chunking: How Much Context Is Enough?"" in the MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx presentation (slide 17), two common chunking strategies are:

1. **Fixed size**: This involves creating chunks with a set size, often with overlap.
2. **Recursive**: This strategy involves splitting at boundaries like paragraphs, and then dividing oversized chunks at finer boundaries like sentences.

Other strategies mentioned include Document-based and Semantic chunking.",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p17; [1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p17,"Fixed size – chunks with a set size, often with overlap | Recursive – split at boundaries like paragraphs, then divide oversized chunks at finer boundaries like sentences",True,True,True,True,4.403,2.684,,,
rerank_off,9,unanswerable,Who won the 2024 Super Bowl and by how much?,(unanswerable),I couldn't find enough supporting material in the loaded documents to answer this.,,,,,,,2.15,0.893,,,
rerank_on,9,unanswerable,Who won the 2024 Super Bowl and by how much?,(unanswerable),I couldn't find enough supporting material in the loaded documents to answer this.,,,,,,,4.096,3.004,,,
rerank_off,10,text,How is RAG context optimization different from fine-tuning?,Week 5 slide 13,"According to the ""Context Optimization"" slide in the MBAX 6418 Week 5 presentation, RAG and fine-tuning differ in how they improve model performance. RAG optimizes context by supplying relevant information when the model responds, whereas fine-tuning adapts the model itself through additional training.",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p13; [1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p13,RAG optimizes context by supplying relevant information when the model responds | Fine-tuning adapts the model itself through additional training,True,True,True,True,2.048,0.788,,,
rerank_on,10,text,How is RAG context optimization different from fine-tuning?,Week 5 slide 13,"According to the ""Context Optimization"" slide (slide 13) in the MBAX 6418 Week 5 presentation, the difference lies in what is being modified. RAG ""optimizes context by supplying relevant information when the model responds."" In contrast, ""Fine-tuning adapts the model itself through additional training.""",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p13; [1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p13,RAG optimizes context by supplying relevant information when the model responds | Fine-tuning adapts the model itself through additional training,True,True,True,True,4.078,2.781,,,
